Time, Aggregate
2014-04-01 00:00:00,352.0
2014-04-01 00:10:00,322.19
2014-04-01 00:20:00,264.93
2014-04-01 00:30:00,178.75
2014-04-01 00:40:00,172.91
2014-04-01 00:50:00,191.51
2014-04-01 01:00:00,179.919191919
2014-04-01 01:10:00,205.98019802
2014-04-01 01:20:00,174.636363636
2014-04-01 01:30:00,212.06
2014-04-01 01:40:00,226.56
2014-04-01 01:50:00,309.287128713
2014-04-01 02:00:00,407.585858586
2014-04-01 02:10:00,395.346534653
2014-04-01 02:20:00,336.101010101
2014-04-01 02:30:00,375.00990099
2014-04-01 02:40:00,634.595959596
2014-04-01 02:50:00,624.32
2014-04-01 03:00:00,502.83
2014-04-01 03:10:00,474.59
2014-04-01 03:20:00,495.752475248
2014-04-01 03:30:00,552.33
2014-04-01 03:40:00,506.59
2014-04-01 03:50:00,412.454545455
2014-04-01 04:00:00,469.12
2014-04-01 04:10:00,577.92
2014-04-01 04:20:00,630.871287129
2014-04-01 04:30:00,569.292929293
2014-04-01 04:40:00,466.8
2014-04-01 04:50:00,434.95049505
2014-04-01 05:00:00,459.34375
2014-04-01 05:10:00,389.841584158
2014-04-01 05:20:00,623.414141414
2014-04-01 05:30:00,373.03030303
2014-04-01 05:40:00,539.52
2014-04-01 05:50:00,372.33
2014-04-01 06:00:00,579.464646465
2014-04-01 06:10:00,517.13
2014-04-01 06:20:00,697.41
2014-04-01 06:30:00,610.08
2014-04-01 06:40:00,569.96
2014-04-01 06:50:00,2484.14
2014-04-01 07:00:00,1222.27368421
2014-04-01 07:10:00,654.46
2014-04-01 07:20:00,575.17
2014-04-01 07:30:00,572.416666667
2014-04-01 07:40:00,660.059405941
2014-04-01 07:50:00,1398.76767677
2014-04-01 08:00:00,673.707070707
2014-04-01 08:10:00,583.222222222
2014-04-01 08:20:00,754.13
2014-04-01 08:30:00,811.86
2014-04-01 08:40:00,867.1
2014-04-01 08:50:00,269.656565657
2014-04-01 09:00:00,214.223404255
2014-04-01 09:10:00,259.260869565
2014-04-01 09:20:00,327.516483516
2014-04-01 09:30:00,332.824742268
2014-04-01 09:40:00,342.635416667
2014-04-01 09:50:00,295.967391304
2014-04-01 10:00:00,291.11627907
2014-04-01 10:10:00,297.701923077
2014-04-01 10:20:00,390.642105263
2014-04-01 10:30:00,447.494382022
2014-04-01 10:40:00,435.803921569
2014-04-01 10:50:00,331.377777778
2014-04-01 11:00:00,319.969387755
2014-04-01 11:10:00,335.46875
2014-04-01 11:20:00,360.959183673
2014-04-01 11:30:00,333.34
2014-04-01 11:40:00,378.808080808
2014-04-01 11:50:00,281.070707071
2014-04-01 12:00:00,331.103092784
2014-04-01 12:10:00,416.792079208
2014-04-01 12:20:00,242.904255319
